Entity,Code,Day,0-17_fully,18-29_fully,25-49_fully,35-44_fully,45-54_fully,50-54_fully,40-49_fully,30-39_fully,25-34_fully,18-24_fully,50-59_fully,55-64_fully,60-69_fully,60-64_fully,55-59_fully,65-69_fully,70-74_fully,75+_fully,80+_fully,75-79_fully,70-79_fully,65-74_fully,12-17_fully,0-9_fully,10-19_fully,20-29_fully,12-15_fully,16-19_fully,5-11_fully,90-99_fully,80-89_fully,0-4_fully,15-17_fully,5-9_fully,10-14_fully
Austria,AUT,2021-10-08,,,63.6,,,,,,,58.35,74.13,,84.46,,,,,,98.69,,81.78,,,,,,,,,,,0.01,47.93,0.04,16.52
Austria,AUT,2021-10-15,,,64.15,,,,,,,59.16,74.47,,84.73,,,,,,98.92,,81.99,,,,,,,,,,,0.01,49.46,0.07,17.37
Austria,AUT,2021-10-22,,,64.7,,,,,,,59.89,74.79,,84.97,,,,,,99.14,,82.17,,,,,,,,,,,0.02,50.96,0.11,18.38
Austria,AUT,2021-10-29,,,65.18,,,,,,,60.59,75.08,,85.16,,,,,,99.31,,82.3,,,,,,,,,,,0.02,51.98,0.14,18.99
Austria,AUT,2021-11-05,,,65.72,,,,,,,61.29,75.42,,85.39,,,,,,99.52,,82.47,,,,,,,,,,,0.02,53.07,0.21,19.7
Austria,AUT,2021-11-12,,,66.38,,,,,,,62.15,75.88,,85.73,,,,,,99.76,,82.71,,,,,,,,,,,0.03,54.23,0.29,20.4
Austria,AUT,2021-11-19,,,67.2,,,,,,,63.15,76.44,,86.1,,,,,,100.03,,82.98,,,,,,,,,,,0.03,55.59,0.34,21.19
Austria,AUT,2021-11-26,,,68.19,,,,,,,64.29,77.12,,86.49,,,,,,100.29,,83.24,,,,,,,,,,,0.04,57.09,0.44,22.07
Austria,AUT,2021-12-03,,,69.54,,,,,,,65.92,78,,87.04,,,,,,100.6,,83.58,,,,,,,,,,,0.05,59.58,0.64,23.48
Belgium,BEL,2021-01-08,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,,,
Belgium,BEL,2021-01-15,,,0,,,,,,,0,0,,0,,,,,,0,,0,,,,,,,,,,,,,,
Belgium,BEL,2021-01-22,,,0,,,,,,,0,0.01,,0.01,,,,,,0.07,,0.01,,,,,,,,,,,,,,
Belgium,BEL,2021-01-29,,,0.11,,,,,,,0.04,0.16,,0.16,,,,,,2.15,,0.36,,,,,,,,,,,,,,
Belgium,BEL,2021-02-05,,,0.51,,,,,,,0.23,0.73,,0.69,,,,,,9.99,,1.51,,,,,,,,,,,,,,
Belgium,BEL,2021-02-12,,,1.5,,,,,,,0.92,1.92,,1.56,,,,,,14.51,,2.53,,,,,,,,,,,,,,
Belgium,BEL,2021-02-19,,,2.27,,,,,,,1.47,2.79,,2.1,,,,,,15.77,,2.95,,,,,,,,,,,,,,
Belgium,BEL,2021-02-26,,,2.71,,,,,,,1.72,3.28,,2.42,,,,,,16.45,,3.17,,,,,,,,,,,,,,
Belgium,BEL,2021-03-05,,,3.12,,,,,,,1.93,3.77,,2.71,,,,,,16.76,,3.3,,,,,,,,,,,,,,
Belgium,BEL,2021-03-12,,,3.74,,,,,,,2.33,4.48,,3.12,,,,,,16.93,,3.46,,,,,,,,,,,,,,
Belgium,BEL,2021-03-19,,,4.48,,,,,,,2.84,5.38,,3.6,,,,,,17.09,,3.63,,,,,,,,,,,,,,
Belgium,BEL,2021-03-26,,,5.18,,,,,,,3.36,6.33,,4.3,,,,,,18.1,,4.13,,,,,,,,,,,,,,
Belgium,BEL,2021-04-02,,,5.71,,,,,,,3.82,7.22,,5.4,,,,,,19.11,,4.98,,,,,,,,,,,,,,
Belgium,BEL,2021-04-09,,,6.04,,,,,,,4.09,7.67,,6.04,,,,,,21.48,,6.35,,,,,,,,,,,,,,
Belgium,BEL,2021-04-16,,,6.29,,,,,,,4.28,8,,6.65,,,,,,29.05,,8.37,,,,,,,,,,,,,,
Belgium,BEL,2021-04-23,,,6.45,,,,,,,4.41,8.18,,7,,,,,,29.74,,9.26,,,,,,,,,,,,,,
Belgium,BEL,2021-04-30,,,6.73,,,,,,,4.63,8.62,,8.11,,,,,,32.81,,12.94,,,,,,,,,,,,,,
Belgium,BEL,2021-05-07,,,7.22,,,,,,,4.96,9.52,,10.36,,,,,,51.73,,20.33,,,,,,,,,,,,,,
Belgium,BEL,2021-05-14,,,7.78,,,,,,,5.35,10.48,,12.98,,,,,,56.84,,40.18,,,,,,,,,,,,,,
Belgium,BEL,2021-05-21,,,9.34,,,,,,,6.4,13.07,,19.24,,,,,,58.91,,52.5,,,,,,,,,,,,,,
Belgium,BEL,2021-05-28,,,11.45,,,,,,,7.61,17.87,,31.36,,,,,,60.36,,60.67,,,,,,,,,,,,,,
